,Population,Children,Age,Income,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Tenure,MonthlyCharge,Bandwidth_GB_Year,Area_Suburban,Area_Urban,Marital_Married,Marital_Never Married,Marital_Separated,Marital_Widowed,Gender_Male,Gender_Nonbinary,Churn_Yes,Techie_Yes,Contract_One year,Contract_Two Year,Port_modem_Yes,Tablet_Yes,InternetService_Fiber Optic,InternetService_None,Phone_Yes,Multiple_Yes,OnlineSecurity_Yes,OnlineBackup_Yes,DeviceProtection_Yes,TechSupport_Yes,StreamingTV_Yes,StreamingMovies_Yes,PaperlessBilling_Yes,PaymentMethod_Credit Card (automatic),PaymentMethod_Electronic Check,PaymentMethod_Mailed Check
1113,50288,2,32,19439.54,15.911127800000003,15,1,1,5.901029789,139.951231,1259.468498,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
1114,3052,0,41,16117.26,9.320031526000001,20,3,0,8.691329205,210.12704,1316.773005,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
1115,1523,3,40,132334.77,13.12639203,9,0,0,17.56356483,240.11486800000003,2136.125116,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1
1116,604,0,21,70839.0,12.34002007,7,3,4,1.291871699,117.487242,699.4793992000001,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0
1117,2580,4,31,52852.51,5.580139893999999,15,2,0,3.638799298,242.62805699999998,1115.58357,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0
1118,278,0,31,11828.76,5.64360936,10,2,1,20.70165955,225.145743,2926.2902559999998,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,1,0,1,0
1119,14569,0,47,77774.13,6.732546892999999,11,1,0,1.2146220140000001,114.99756399999998,284.0777847,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1
1120,4833,8,31,5208.36,5.478738151,15,2,0,10.92511005,142.49926299999998,1696.540148,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0
1121,22447,0,57,8085.85,8.415407057000001,11,3,1,3.147892285,82.49654699999999,305.7666287,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0
1122,3172,3,78,66146.86,12.05866555,17,2,0,8.688984603,132.479779,1524.801731,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1
1123,11499,0,57,47757.95,7.550902576,12,2,1,1.4562622490000001,184.96103300000001,906.2735981000001,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0
1124,8248,1,28,21861.69,11.28505526,9,0,0,2.0723172219999997,202.443347,676.2054121,0,1,0,0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0
1125,23835,1,25,41446.86,7.9906397579999995,9,1,0,3.475168025,159.965008,637.9068136,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0
1126,2115,1,23,22032.37,10.78273936,11,0,0,9.510993751,167.45641899999998,1142.4274990000001,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0
1127,581,1,78,52729.59,11.02320782,13,2,0,22.16579367,114.972827,1825.985724,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0
1128,5264,1,39,31026.92,11.10415291,10,2,0,6.19002424,159.987503,803.3925622,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1
1129,702,1,80,11252.3,17.5602198,10,3,0,9.067061096,160.01224,1008.639416,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0
1130,28,1,31,97479.21,4.122791832,11,1,0,1.8450033730000002,137.46838799999998,507.60079479999996,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0
1131,60461,4,42,13288.17,12.84976081,10,1,1,3.12313921,194.98820800000001,875.1196392,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0
1132,744,0,70,37518.71,9.543357026,8,2,0,10.24058579,172.45785700000002,1144.0503509999999,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,1,0,0
1133,4003,0,20,10245.51,7.077339857,10,0,0,1.491763776,220.161527,830.5471719,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,0,1,0
1134,20602,5,41,10530.09,6.033340156,11,0,0,18.66406554,147.45641899999998,2287.741972,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
1135,270,3,53,22898.91,12.13656325,12,1,1,8.721905501,252.63780699999998,1407.12838,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,0
1136,20235,0,75,30814.46,4.840632447,10,1,0,14.58313517,187.481057,2091.178584,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0
1137,2824,1,60,53777.29,9.242340847000001,6,0,0,4.255080878,137.48359399999998,995.1098617,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1
1138,20297,2,27,44064.71,6.471033904,17,1,1,9.343807203999999,162.493654,1241.311162,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0
1139,151,0,82,87315.7,8.352797526,9,0,1,4.153793775,242.61063199999998,1267.731181,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,1
1140,5819,8,56,30195.71,11.13577596,12,2,0,2.760208796,167.484705,1363.377334,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0
1141,1639,1,53,16937.26,13.44315297,7,1,0,1.583634587,267.664655,887.2448499,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0
1142,1165,2,81,30434.99,4.3163791080000005,8,2,0,13.98469679,235.188375,1795.290082,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0
1143,796,3,74,87428.18,7.92642809,10,0,0,3.072369855,169.974105,584.4226607,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0
1144,88,1,52,19821.7,9.032895096,12,2,1,12.81011786,159.947583,1714.568513,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0
1145,2217,2,67,45546.55,15.15496322,14,2,1,8.417226872999999,95.005709,770.6307096,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0
1146,4483,7,75,57343.6,11.57637613,10,0,1,17.35804942,172.45785700000002,1973.3933670000001,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,1
1147,9696,3,49,15777.93,11.55879323,12,1,1,7.95236848,187.484705,1197.290608,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,0,1
1148,16488,3,67,50109.93,11.98080538,6,1,0,8.889790813,202.636202,1710.907598,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1
1149,1112,9,54,63005.71,15.13468172,14,2,1,1.1123217840000001,277.63748,1053.415573,0,1,0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0
1150,34784,0,43,39585.8,8.280154685,17,2,2,17.67252758,104.97808,1965.221779,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
1151,7104,0,32,81833.68,13.65973236,16,1,0,9.716052195,95.019486,1093.345316,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
1152,4477,3,62,23288.22,7.643621222,2,0,1,14.87120712,152.44408,2021.7820550000001,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1
1153,7290,7,70,27430.39,9.919678232,11,0,1,7.0779993889999995,154.975543,1636.158987,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1,0,1,0,1,0
1154,1026,3,25,54669.67,8.444910983,11,1,0,13.85473212,217.47019500000002,1792.56277,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0
1155,24147,3,33,53862.8,2.9447710910000002,13,1,0,10.39427126,192.470522,1312.1343160000001,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0
1156,38753,1,41,55264.57,12.84598904,14,2,0,10.22370845,207.49737,1289.886774,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0
1157,3437,5,51,27937.54,8.578166103,12,0,1,8.098851806,162.493654,1152.9689349999999,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0
1158,1405,0,82,14629.71,11.32174569,13,2,2,19.16163631,162.471255,1746.011415,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1
1159,57955,3,56,60109.62,15.75679649,11,1,0,9.932932318999999,222.61427999999998,1898.286119,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0
1160,14269,1,71,122741.65,8.828958895,9,1,0,4.00803296,125.007314,525.3079813999999,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0
1161,81,8,34,18136.36,8.704414121000001,6,1,0,14.41890198,92.455141,1971.551928,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1162,41000,0,20,99100.1,9.908849616,5,0,0,9.26064585,222.61427999999998,1821.82345,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0
1163,128,0,23,28987.95,7.553373948,9,2,1,8.634921784,207.49737,1270.22182,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,1,0,0,1,0
1164,0,0,89,48455.85,10.30256804,8,3,1,26.16514147,139.93491799999998,2761.9822440000003,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
1165,396,0,72,4916.91,17.49332639,12,1,2,1.0687990859999998,172.487091,504.98141060000006,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1
1166,3989,3,35,56014.49,7.523463124,14,1,0,17.39605821,175.133074,2019.788427,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1
1167,9718,6,89,90596.15,7.899801255,11,2,1,7.245906912000001,159.987503,879.9008247000002,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0
1168,130,3,66,82251.92,7.059012011,11,0,0,6.133827574,162.452604,950.1312316,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
1169,1925,7,57,41210.5,10.59857436,12,1,1,3.816472249,152.44408,1208.458932,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1
1170,4695,1,76,24969.71,9.109696707000001,15,1,0,11.47456181,139.97923899999998,1210.196851,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0
1171,21095,0,81,8669.16,15.32731181,13,0,0,3.61323465,252.63780699999998,804.3790601,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0
1172,180,0,40,3551.89,11.64764999,9,1,1,6.126946607000001,242.61063199999998,1614.1637,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,1
1173,79276,3,85,18788.66,15.34353703,14,1,0,9.378558244,192.44043200000002,1150.450972,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0
1174,10056,0,34,68738.07,7.595319178,10,3,0,5.679317142,262.610632,1136.60955,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,1,1,0,0
1175,19556,3,30,21671.58,9.227166445,12,1,0,9.314854212,94.972827,1487.731702,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
1176,8706,0,38,33714.3,10.06634813,20,2,0,6.339408607999999,124.97808,639.5093519,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0
1177,947,1,78,25597.36,9.140364793,11,1,0,5.597557242000001,120.003499,796.4331979,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0
1178,115,2,85,40133.04,14.95030399,8,3,1,6.195470215,275.119794,1124.637958,0,1,0,1,0,0,1,0,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0
1179,16394,0,63,3998.85,12.47176454,11,2,0,8.509499576,139.98157700000002,1072.213221,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1
1180,18578,1,88,30133.27,10.03378888,14,1,0,30.03608319,202.443347,2688.491827,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0
1181,16299,1,49,4812.74,12.96180339,16,1,0,13.34966275,172.47417,1454.923517,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,0
1182,2494,2,31,12061.92,10.94680764,6,0,0,9.045537332,144.960655,1014.8544619999999,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0
1183,1602,3,33,6132.5,13.32229504,14,1,0,17.70570806,172.44408,1935.621118,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0
1184,29287,4,28,78238.99,15.54569939,9,0,0,5.958420708999999,222.61427999999998,1648.155844,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1
1185,6921,1,84,15048.63,8.440399216,9,0,0,7.570075544,220.11486800000003,1524.9450960000001,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0
1186,37540,2,35,101771.45,9.010061624,12,1,1,5.873359501,127.44206899999999,1160.756141,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1
1187,11196,2,43,12998.92,12.9088807,15,0,0,19.37622206,139.93491799999998,2418.099487,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0
1188,30196,2,73,58997.61,6.783649349,7,0,1,13.66699636,172.45785700000002,1523.5903529999998,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0
1189,2898,2,77,19383.74,8.144330616,15,2,3,1.87055247,157.48359399999998,278.99429069999996,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0
1190,70,1,37,57062.8,8.455302586,10,0,0,10.7468963,187.481057,1885.1644489999999,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1
1191,66531,0,24,7945.24,13.64460159,9,0,1,6.691537735,134.950905,805.3931837,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0
1192,309,1,56,26131.54,10.39492135,14,0,0,12.41932486,127.474951,1188.311266,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0
1193,17879,6,75,45869.12,10.58093125,8,0,1,2.5238883999999997,194.98820800000001,779.392646,1,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,0,0
1194,352,0,70,3223.21,12.07896744,13,0,0,9.764790968,169.992756,891.5354705,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0
1195,39088,0,54,21647.96,10.51343586,18,0,0,7.629294031000001,152.488401,940.7924479000001,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,1
1196,13112,1,42,12411.88,10.94484319,12,0,1,6.695029374,152.51044199999998,1251.2898890000001,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,1,0
1197,631,9,69,35524.46,8.836395031,7,0,1,19.25835701,152.45785700000002,2623.8359379999997,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,1,0,0
1198,348,3,50,48154.12,16.63376919,13,1,0,1.7239838969999999,139.951231,888.9795791000001,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
1199,43,3,47,85147.06,7.540632126,17,0,0,3.811416865,129.948316,1023.7022630000001,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1200,30927,2,59,49691.34,8.173622417,10,1,0,1.7841037869999998,159.987503,407.59288119999997,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1
1201,868,9,57,32810.46,15.17990976,7,1,1,1.43538042,79.978861,367.3059091,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
1202,20136,0,29,49106.35,10.24327363,14,0,0,13.3451101,92.455141,1571.3975369999998,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
1203,76,3,32,23379.71,5.730187668999999,11,1,0,9.676963031,204.96103300000001,1340.685724,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0
1204,1444,0,81,40661.06,2.5167451119999997,12,1,0,9.028422616,95.019486,876.3492187999999,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0
1205,533,3,22,11306.37,12.834729,9,1,0,5.441479864,232.63780699999998,1700.52331,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0
1206,941,2,37,12851.22,9.503889637999999,13,0,0,3.550421402,169.937833,726.6441549,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0
1207,575,4,83,23687.02,13.25666082,14,0,0,13.14070245,137.469817,1577.015173,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0
1208,63,4,44,95197.4,9.255314336,13,2,0,19.9235245,172.462354,2113.850791,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0
1209,702,0,85,29348.16,8.954899011,14,1,2,1.374911824,142.500692,747.9301328,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0
1210,10030,4,58,5028.44,11.81175528,10,0,0,3.1069805280000002,192.44043200000002,708.8254196,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0
1211,87240,0,80,85717.14,2.110606916,18,1,0,5.550110436000001,187.656013,894.4102552999999,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0
1212,1038,3,28,34407.99,11.46370907,15,0,0,9.38712707,277.651257,1712.7944949999999,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0
1213,2467,3,31,5874.73,9.928856736,12,0,0,4.005780286999999,157.469817,554.7295152,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0
1214,7088,7,87,68836.53,11.57554015,11,0,0,12.40889924,154.96176599999998,1889.347998,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0
1215,291,3,36,35105.32,13.27478996,11,1,2,7.60247544,162.468917,1078.260358,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0
1216,13961,0,23,15002.6,8.508595449,13,1,0,10.08463748,182.46760700000002,1310.3828449999999,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,1
1217,17248,2,70,51988.65,8.844986609,9,1,0,6.169035922000001,195.006206,909.9557807,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0
1218,35824,0,24,18692.53,12.25982132,12,0,0,12.09641389,149.988989,1461.1012660000001,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0
1219,82,3,49,20896.4,10.03906526,11,3,0,23.32691904,139.987503,2649.830017,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0
1220,5714,0,60,41058.3,9.515742803,11,2,0,8.886360176,172.45674499999998,1340.373707,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0
1221,142,0,85,22274.11,8.620125009,10,0,1,15.82334026,190.12704,2123.334993,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1
1222,2581,4,32,20436.28,7.85989854,11,0,0,6.862244054,255.155493,1476.644914,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0
1223,190,0,46,28733.56,11.57607855,10,0,1,5.396647294,137.46838799999998,765.7044852999999,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0
1224,32195,7,47,20095.5,10.42690816,17,2,0,18.42609229,147.442069,1890.3853980000001,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
1225,2138,1,34,109373.69,7.953632262,9,2,0,4.526667855,187.49737,1259.528321,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,1,0,0,1
1226,853,4,47,45642.1,10.24268185,8,0,0,6.832965812,184.949594,1468.00712,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0
1227,2317,2,21,13802.12,13.65545074,14,1,1,6.109999694,202.443347,1060.779533,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0
1228,423,2,48,67035.46,13.30817874,17,0,4,3.852627275,162.500692,720.333405,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0
1229,1548,7,23,9237.79,10.62473397,13,0,1,12.74748675,159.97935800000002,2008.680996,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0
1230,2747,0,41,98906.55,9.540070446,11,0,0,4.997365436,162.465269,1154.892024,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0
1231,778,3,37,40529.84,16.88041332,13,1,0,15.32475177,182.443347,2207.637213,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0
1232,1848,3,58,49350.86,12.50834927,8,1,0,18.81607435,194.95250900000002,2346.894471,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,0,1,0
1233,37774,0,34,53196.73,8.942252776,9,1,0,7.629943705,149.96209299999998,954.1807838,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1
1234,1202,2,77,11113.69,12.834837400000001,14,0,1,9.417609509,172.51044199999998,976.910308,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0,1,1,0,0
1235,799,4,49,31644.7,15.76975133,8,1,0,11.96148946,227.475448,1599.4745970000001,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0,0,1
1236,57,0,32,26312.33,13.46868109,14,0,0,15.48651522,159.93491799999998,1660.386663,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0
1237,1489,1,64,78370.93,4.471635302,7,1,0,21.10862922,184.949594,2536.687205,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0
1238,23438,2,70,6088.74,10.14904497,14,2,0,8.825774698,217.48397200000002,1283.000223,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0
1239,85,1,56,6479.72,8.6681168,16,1,0,8.574105728,172.51044199999998,945.8621324999999,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0,1,1,0,0
1240,1130,3,45,40710.63,11.28911933,14,1,0,15.56696462,167.484705,2247.8230320000002,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0
1241,18208,3,88,73646.38,7.568122559,14,1,0,8.000279417,172.44043200000002,1441.176168,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0
1242,271,3,22,32974.25,7.641160647,7,1,0,15.16346403,139.986074,1765.167048,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1
1243,3801,1,78,3955.88,10.62427045,12,0,1,10.43448006,184.97845800000002,1203.563432,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0
1244,10987,1,69,53513.98,6.922666965,9,0,0,8.550692097,232.63780699999998,1692.566285,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1
1245,25744,0,51,42002.93,10.20539198,15,2,0,9.323157168,172.470522,1486.494353,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
